Source Quality Report  (2026-09-22T04:47:15Z)
Total: 21158 proxies, 18324 alive

Source                  Total  Alive  Surv%  Lat(ms)  Spd(MB)   Rep    CN%
--------------------------------------------------------------------------
wentao                     17     17 100.0%      175     4.23    62  64.7%
main                    17515  17124  97.8%      252     2.96    63  88.8%
afr                       292    283  96.9%      354     4.65    65  76.3%
farel                     559    524  93.7%      312     5.76    69  81.9%
wanwu                      23     21  91.3%      243     4.14    61  76.2%
multi                     210     89  42.4%      342     3.08    54  87.6%
wwuyi                     137     51  37.2%      366    10.53    50  74.5%
list                      147     32  21.8%      425     0.05    61 100.0%
ymyuuu                    894    135  15.1%      390    47.05    62  97.0%
proxyip                   251     15   6.0%      515     1.10    63 100.0%
cmliu                    1113     33   3.0%      263    10.23    67 100.0%
